Date,Title,Value,Type,URL,Open,High,Low,Close,Volume,Market Cap,Percent Change,Percent Change 48,Percent Change 72
1/3/2016,Bitcoin Offers Many Advantages to Online Gambling And Sports Betting Website Owners,99,99,https://themerkle.com/bitcoin-offers-many-advantages-to-online-gambling-and-sports-betting-website-owners/,433.58,433.74,424.71,430.01,"39,633,800","6,519,500,000",-0.82,0.72,0.45
1/4/2016,Mike Tyson is launching his own Bitcoin wallet brand,1,3,https://www.theverge.com/2016/1/4/10708144/mike-tyson-bitcoin-wallet-atm,430.06,434.52,429.08,433.09,"38,477,500","6,468,180,000",0.7,-0.26,-0.92
1/4/2016,Lithuania Ready to Embrace Bitcoin and Blockchain Technology,1,1,https://themerkle.com/lithuania-ready-to-embrace-bitcoin-and-blockchain-technology/,430.06,434.52,429.08,433.09,"38,477,500","6,468,180,000",0.7,-0.26,-0.92
1/4/2016,German Government Tracks Bitcoin Transactions To Prevent Terrorism Financing,1,1,https://cointelegraph.com/news/german-government-tracks-bitcoin-transactions-to-prevent-terrorism-financing,430.06,434.52,429.08,433.09,"38,477,500","6,468,180,000",0.7,-0.26,-0.92
1/5/2016,BitFury to Mass Produce New 16nm Chip and Sell to Public — Bitcoin Magazine,99,99,https://bitcoinmagazine.com/articles/bitfury-to-mass-produce-new-nm-chip-and-sell-to-public-1452010171/,433.07,434.18,429.68,431.96,"34,522,600","6,515,380,000",-0.26,-0.66,6.04
1/6/2016,Indian Bitcoin Startup Zebpay Raises $1 Million,1,3,https://www.coindesk.com/indian-bitcoin-wallet-1-million-zebpay/,431.86,431.86,426.34,429.11,"34,042,500","6,498,830,000",-0.64,6.74,5.62
1/6/2016,There is a New Bitcoin App with Mike Tyson’s Face Tattoo in It,99,99,https://paymentweek.com/2016-1-6-there-is-a-new-bitcoin-app-with-mike-tysons-face-tattoo-in-it-9304/,431.86,431.86,426.34,429.11,"34,042,500","6,498,830,000",-0.64,6.74,5.62
1/7/2016,Bitcoin Exchange BTC-e Back Online After Reported DDoS,1,2,https://www.coindesk.com/european-bitcoin-exchange-btc-e-back-online-after-reported-ddos-attack/,430.01,458.77,429.08,458.05,"87,562,200","6,472,580,000",6.52,-1.05,-2.28
1/14/2016,Netflix Opens To Bitcoin,1,3,https://cointelegraph.com/news/netflix-opens-to-bitcoin,432.29,433.32,427.85,430.31,"43,945,500","6,519,110,000",-0.46,-15.33,-9.94
1/15/2016,Lead developer quits bitcoin saying it 'has failed',-1,4,https://www.reuters.com/article/us-global-technology-bitcoin/lead-developer-quits-bitcoin-saying-it-has-failed-idUSKCN0UT2II,430.25,430.25,364.33,364.33,"153,351,000","6,489,870,000",-15.32,6.37,4.93
1/15/2016,Former ATM Maker Robocoin Ends Bitcoin Services,-1,4,https://www.coindesk.com/robocoin-romit-ends-bitcoin-services/,430.25,430.25,364.33,364.33,"153,351,000","6,489,870,000",-15.32,6.37,4.93
1/17/2016,Bitcoin Accepting Payment Platform Adyen Doubles in Revenue,99,99,https://www.newsbtc.com/2016/01/17/bitcoin-accepting-payment-platform-adyen-doubles-revenue/,387.15,390.96,380.09,382.3,"45,319,600","5,842,270,000",-1.25,1.27,-0.56
1/18/2016,Cryptsy Hacked: Bitcoin Worth $USD 6 Million Stolen,-1,2,https://www.hackread.com/cryptsy-hacked-bitcoin-worth-usd-6-million-stolen/,381.73,388.1,376.67,387.17,"54,403,900","5,761,940,000",1.43,-1.81,8.54
1/19/2016,"R.I.P., Bitcoin. It’s time to move on.",99,99,https://www.washingtonpost.com/news/innovations/wp/2016/01/19/r-i-p-bitcoin-its-time-to-move-on/?utm_term=.c48d7f55c628,387.03,387.73,378.97,380.15,"46,819,800","5,843,510,000",-1.78,10.54,7.92
1/19/2016,Bitcoin: Is the crypto-currency doomed?,99,99,http://www.bbc.com/news/technology-35343561,387.03,387.73,378.97,380.15,"46,819,800","5,843,510,000",-1.78,10.54,7.92
1/19/2016,Bitcoin Exchange Kraken Acquires Coinsetter To Expand To The U.S.,99,99,https://techcrunch.com/2016/01/19/bitcoin-exchange-kraken-acquires-coinsetter-to-expand-to-the-u-s/,387.03,387.73,378.97,380.15,"46,819,800","5,843,510,000",-1.78,10.54,7.92
1/21/2016,Is Bitcoin Dead? $1 Billion In Startup Investment Says No,99,99,https://www.forbes.com/sites/jonathanchester/2016/01/21/is-bitcoin-dead-1-billion-says-no/#72fa4c285972,419.63,422.88,406.3,410.26,"68,338,000","6,338,800,000",-2.23,-6.77,-5.55
1/28/2016,Legislature Says No To Bitcoin Tax Payments,-1,1,https://www.forbes.com/sites/kellyphillipserb/2016/01/28/legislature-says-no-to-bitcoin-tax-payments/#d122fb362188,395.15,395.5,379.74,380.29,"59,247,900","5,980,180,000",-3.76,-0.22,-0.54
2/1/2016,Japanese Financial Giant Invests in Bitcoin Exchange Kraken,1,3,https://www.coindesk.com/japanese-financial-giant-invests-in-bitcoin-exchange-kraken/,369.35,378.07,367.96,373.06,"51,656,700","5,596,090,000",1,0.37,-0.83
2/1/2016,Chinese E-Commerce Giant Alibaba Explores Blockchain-based Cloud Service Platform — Bitcoin Magazine,99,99,https://bitcoinmagazine.com/articles/chinese-e-commerce-giant-alibaba-explores-blockchain-based-cloud-service-platform-1454360796/,369.35,378.07,367.96,373.06,"51,656,700","5,596,090,000",1,0.37,-0.83
2/3/2016,Europe wants end to anonymous Bitcoin transactions,-1,1,https://www.theregister.co.uk/2016/02/03/ec_virtual_currency_regulation_suggestion/,374.65,374.95,368.05,369.95,"45,933,400","5,679,530,000",-1.25,5.31,4.49
2/3/2016,Commonwealth Pushes Member Countries to Declare Bitcoin Legal,99,99,https://www.coindesk.com/commonwealth-member-countries-bitcoin-legal/,374.65,374.95,368.05,369.95,"45,933,400","5,679,530,000",-1.25,5.31,4.49
2/3/2016,Blockstream Raises $55 Million to Build Out Bitcoin’s Blockchain,99,99,https://www.coindesk.com/blockstream-55-million-series-a/,374.65,374.95,368.05,369.95,"45,933,400","5,679,530,000",-1.25,5.31,4.49
2/4/2016,Chilean Bitcoin Exchange SurBTC Raises $300k,99,99,https://www.coindesk.com/227606-2/,370.17,391.61,369.99,389.59,"69,285,500","5,613,380,000",5.25,-0.78,-3.35
2/5/2016,Putin Advisor: Accepting Bitcoin Payments in Russia is a Crime,-1,1,https://www.coindesk.com/receiving-bitcoin-payments-is-a-crime-says-russian-presidential-advisor/,388.9,391.09,385.57,386.55,"43,825,000","5,898,960,000",-0.6,-2.59,-2.57
2/5/2016,EU commission wants to end bitcoin exchanges’ anonymity,-1,1,https://calvinayre.com/2016/02/05/bitcoin/eu-commission-wants-to-end-bitcoin-exchanges-anonymity/,388.9,391.09,385.57,386.55,"43,825,000","5,898,960,000",-0.6,-2.59,-2.57
2/7/2016,Double Your Money? Looming 'Hard Fork' Uncovers Fatal Bitcoin Flaw,-1,5,https://www.forbes.com/sites/jasonbloomberg/2016/02/07/double-your-money-looming-hard-fork-uncovers-fatal-bitcoin-flaw/#418f9b606126,376.51,380.87,374.9,376.62,"37,076,300","5,714,760,000",0.03,-0.84,-0.16
2/9/2016,Gaming Giant Valve to Offer Bitcoin Payments with BitPay,1,3,https://themerkle.com/gaming-giant-valve-to-offer-bitcoin-payments-with-bitpay/,373.42,377.25,372.9,376.03,"55,318,500","5,670,880,000",0.7,1.49,0.96
2/9/2016,Bitcoin is on the verge of splitting in two,1,5,https://www.theverge.com/2016/2/9/10946072/bitcoin-core-classic-software-block-size-debate,373.42,377.25,372.9,376.03,"55,318,500","5,670,880,000",0.7,1.49,0.96
2/10/2016,Bitcoin Classic Publishes Code That Could Double Bitcoin's Block Size,1,5,https://www.coindesk.com/bitcoin-classic-publish-code-block-size/,376.15,385.48,375.78,381.65,"85,130,900","5,713,880,000",1.46,-0.52,0.68
2/11/2016,Bitcoin stealing malware evolves again,-1,2,https://bravenewcoin.com/news/bitcoin-stealing-malware-evolves-again/,382.11,383.13,376.4,379.65,"74,375,600","5,806,110,000",-0.64,1.21,3.22
2/15/2016,"Password cracking attacks on Bitcoin wallets net $103,000",-1,2,https://arstechnica.com/information-technology/2016/02/password-cracking-attacks-on-bitcoin-wallets-net-103000/,407.57,410.38,397.75,400.19,"74,070,500","6,199,850,000",-1.81,1.82,4.03
2/16/2016,Can IBM bring Bitcoin's blockchain technology to mainstream business?,99,99,https://www.techrepublic.com/article/can-ibm-bring-bitcoins-blockchain-technology-to-mainstream-business/,401.43,408.94,401.43,407.49,"73,093,100","6,108,040,000",1.51,2.17,3.65
2/17/2016,"Hollywood hospital pays $17,000 in bitcoin to hackers; FBI investigating",99,99,http://www.latimes.com/business/technology/la-me-ln-hollywood-hospital-bitcoin-20160217-story.html,407.66,421.17,406.78,416.32,"83,193,600","6,204,150,000",2.12,1.45,1.07
2/17/2016,Kraken says significant progress made in MtGox bankruptcy bitcoin probe,99,99,https://www.reuters.com/article/bitcoin-kraken-mtgox/kraken-says-significant-progress-made-in-mtgox-bankruptcy-bitcoin-probe-idUSL2N15W2CG,407.66,421.17,406.78,416.32,"83,193,600","6,204,150,000",2.12,1.45,1.07
2/17/2016,European Commission Plans Crackdown on Bitcoin: New Regulations by June — Bitcoin Magazine,99,99,https://bitcoinmagazine.com/articles/european-commission-plans-crackdown-on-bitcoin-new-regulations-by-june-1455725442/,407.66,421.17,406.78,416.32,"83,193,600","6,204,150,000",2.12,1.45,1.07
2/18/2016,IBM open sources its blockchain code – the non-crazy part of Bitcoin,99,99,https://www.theregister.co.uk/2016/02/18/ibm_open_sources_blockchain_code/,416.57,426,415.64,422.37,"76,752,600","6,341,430,000",1.39,-0.37,3.5
2/20/2016,Bitcoin Miners Back Proposed Timeline for 2017 Hard Fork,1,5,https://www.coindesk.com/bitcoin-miners-back-proposed-timeline-for-2017-network-hard-fork/,421.6,441.98,421.6,437.16,"93,992,100","6,421,310,000",3.69,0.38,0.13
2/21/2016,Bitcoin Agreement Promises To Break Impasse; Currency Jumps In Value,99,99,https://www.forbes.com/sites/laurashin/2016/02/21/60-bitcoin-agreement-promises-to-break-impasse-leads-to-jump-in-value/#4227add56e65,437.77,448.05,429.08,438.8,"89,820,700","6,669,260,000",0.24,-0.24,-4.12
2/22/2016,Coinbase CEO Rejects Proposal for Bitcoin Hard Fork in 2017,-1,5,https://www.coindesk.com/coinbase-ceo-rejects-bitcoin-hard-fork/,438.99,439.05,432.92,437.75,"85,385,200","6,689,200,000",-0.28,-3.89,-2.92
